,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
99,Ngunguru,-35.6167,174.5,55.62,89,55.06,50,7.83,New Zealand,2022-08-21 18:07:15-07:00
100,Carnarvon,-24.8667,113.6333,65.73,74,65.48,0,16.44,Australia,2022-08-21 18:07:05-07:00
101,Tucano,-10.9631,-38.7867,76.44,66,76.89,94,13.78,Brazil,2022-08-21 18:07:15-07:00
102,Hobyo,5.3505,48.5268,76.8,83,78.08,86,27.2,Somalia,2022-08-21 18:06:18-07:00
103,Rognan,67.0953,15.3878,65.75,26,62.74,80,1.86,Norway,2022-08-21 18:07:16-07:00
104,Walvis Bay,-22.9575,14.5053,61.09,43,58.91,71,17.67,Namibia,2022-08-21 18:07:21-07:00
105,Qaanaaq,77.484,-69.3632,37.47,59,34.38,100,4.03,Greenland,2022-08-21 18:07:26-07:00
106,Río Gallegos,-51.6226,-69.2181,55.02,49,52.52,100,17.69,Argentina,2022-08-21 18:07:26-07:00
107,Oodweyne,9.4092,45.064,79.83,41,79.83,91,19.55,Somalia,2022-08-21 18:07:27-07:00
108,Narrabri,-30.3167,149.7833,45.14,76,44.1,8,3.09,Australia,2022-08-21 18:07:27-07:00
109,Murgab,37.4966,61.9714,71.91,17,69.6,0,10.69,Turkmenistan,2022-08-21 18:07:28-07:00
110,Anloga,5.7947,0.8973,75.87,83,77.05,17,11.05,Ghana,2022-08-21 18:07:28-07:00
111,Dehui,44.5333,125.7,65.39,93,66.0,96,11.74,China,2022-08-21 18:07:29-07:00
112,Brae,60.3964,-1.353,53.87,81,52.77,24,16.13,United Kingdom,2022-08-21 18:07:29-07:00
113,Tangier,35.7806,-5.8137,85.35,32,83.41,0,6.91,Morocco,2022-08-21 18:07:30-07:00
114,São Filipe,14.8961,-24.4956,77.04,87,78.53,100,4.92,Cabo Verde,2022-08-21 18:07:30-07:00
115,Aksarka,66.5606,67.7975,54.16,94,53.69,99,7.67,Russia,2022-08-21 18:07:30-07:00
116,Russell,32.3502,-85.1999,85.01,78,89.92,40,16.11,United States,2022-08-21 18:07:31-07:00
117,Lompoc,34.6391,-120.4579,78.69,84,69.19,100,3.44,United States,2022-08-21 18:07:31-07:00
118,George Town,5.4112,100.3354,79.9,88,79.84,20,2.3,Malaysia,2022-08-21 18:04:35-07:00
119,Dikson,73.5069,80.5464,42.55,95,36.86,99,9.86,Russia,2022-08-21 18:07:32-07:00
120,Cutro,39.0353,16.9819,75.65,57,75.6,36,7.76,Italy,2022-08-21 18:07:33-07:00
121,Kaeo,-35.1,173.7833,56.35,92,56.01,50,6.82,New Zealand,2022-08-21 18:07:33-07:00
122,North Platte,41.1239,-100.7654,83.12,47,81.63,0,7.0,United States,2022-08-21 18:04:37-07:00
123,Leningradskiy,69.3833,178.4167,38.23,84,31.26,37,10.42,Russia,2022-08-21 18:07:34-07:00
124,West Freehold,40.2421,-74.3013,87.94,65,86.05,75,8.01,United States,2022-08-21 18:03:48-07:00
125,Nara,34.6851,135.8049,80.49,68,83.25,3,3.85,Japan,2022-08-21 18:04:55-07:00
126,Rawson,-43.3002,-65.1023,56.28,48,53.87,1,24.85,Argentina,2022-08-21 18:07:34-07:00
127,Ust-Nera,64.5667,143.2,55.15,81,54.18,100,5.79,Russia,2022-08-21 18:07:35-07:00
128,Cabo San Lucas,22.8909,-109.9124,93.61,62,102.15,20,8.05,Mexico,2022-08-21 18:07:25-07:00
